ID,camera ID,shelf ID,hand_id,hand_coords,timestamp,timestamp(UTC - JST)
0,2,1,217.0,"(183, 392)",1589513290.75,2020:05:15 10:28:10
1,2,1,219.0,"(195, 310)",1589513294.0333333,2020:05:15 10:28:14
2,2,1,220.0,"(530, 151)",1589513294.1166666,2020:05:15 10:28:14
3,2,1,219.0,"(212, 206)",1589513294.6666667,2020:05:15 10:28:14
4,2,1,221.0,"(290, 233)",1589513294.8666666,2020:05:15 10:28:14
5,2,1,222.0,"(263, 244)",1589513295.1833334,2020:05:15 10:28:15
6,2,1,219.0,"(175, 376)",1589513295.9833333,2020:05:15 10:28:15
7,2,1,223.0,"(365, 270)",1589513296.0333333,2020:05:15 10:28:16
8,1,2,200.0,"(441, 96)",1589513296.2333333,2020:05:15 10:28:16
9,2,4,229.0,"(903, 195)",1589513297.15,2020:05:15 10:28:17
10,2,3,230.0,"(620, 376)",1589513298.4333334,2020:05:15 10:28:18
11,2,4,236.0,"(863, 201)",1589513302.75,2020:05:15 10:28:22
12,2,3,237.0,"(712, 343)",1589513303.55,2020:05:15 10:28:23
13,2,3,238.0,"(663, 356)",1589513303.75,2020:05:15 10:28:23
14,2,3,233.0,"(630, 363)",1589513304.6333334,2020:05:15 10:28:24
15,1,2,214.0,"(447, 225)",1589513304.8,2020:05:15 10:28:24
